[DEBUG] 2021-12-14 22:25:24.774 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-12-14 22:25:24.782 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-12-14 22:25:24.784 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-12-14 22:25:24.860 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-12-14 22:25:24.865 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-12-14 22:25:25.040 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-12-14 22:25:25.043 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-12-14 22:25:25.050 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-12-14 22:25:25.357 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-12-14 22:25:25.383 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-12-14 22:25:25.383 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-12-14 22:25:25.403 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-12-14 22:25:25.430 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4e1ce44
[DEBUG] 2021-12-14 22:25:25.430 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4e1ce44
[DEBUG] 2021-12-14 22:25:25.434 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4e1ce44
[DEBUG] 2021-12-14 22:25:25.434 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@524a2ffb
[DEBUG] 2021-12-14 22:25:25.434 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@72456279
[DEBUG] 2021-12-14 22:25:25.434 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@1416cf9f
[DEBUG] 2021-12-14 22:25:25.435 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@a518813
[DEBUG] 2021-12-14 22:25:25.439 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@a518813
[DEBUG] 2021-12-14 22:25:25.439 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@a518813
[DEBUG] 2021-12-14 22:25:25.439 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1d75e7af
[DEBUG] 2021-12-14 22:25:25.441 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@1d75e7af
[DEBUG] 2021-12-14 22:25:25.441 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1d75e7af
[DEBUG] 2021-12-14 22:25:25.441 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3d5790ea
[DEBUG] 2021-12-14 22:25:25.441 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3d5790ea
[DEBUG] 2021-12-14 22:25:25.441 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3d5790ea
[DEBUG] 2021-12-14 22:25:25.450 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5c534b5b
[DEBUG] 2021-12-14 22:25:25.450 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5c534b5b
[DEBUG] 2021-12-14 22:25:25.450 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5c534b5b
[DEBUG] 2021-12-14 22:25:25.451 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7158daf2
[DEBUG] 2021-12-14 22:25:25.453 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7158daf2
[DEBUG] 2021-12-14 22:25:25.453 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@7158daf2
[DEBUG] 2021-12-14 22:25:25.453 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7a389761
[DEBUG] 2021-12-14 22:25:25.453 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7a389761
[DEBUG] 2021-12-14 22:25:25.453 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7a389761
[DEBUG] 2021-12-14 22:25:25.454 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1a6cf771
[DEBUG] 2021-12-14 22:25:25.454 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1a6cf771
[DEBUG] 2021-12-14 22:25:25.454 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@1a6cf771
[DEBUG] 2021-12-14 22:25:25.454 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@8f2098e
[DEBUG] 2021-12-14 22:25:25.454 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@8f2098e
[DEBUG] 2021-12-14 22:25:25.455 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@19962194
[DEBUG] 2021-12-14 22:25:25.455 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@19962194
[DEBUG] 2021-12-14 22:25:25.457 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@7c1e32c9
[DEBUG] 2021-12-14 22:25:25.457 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@7c1e32c9
[DEBUG] 2021-12-14 22:25:25.457 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@41b1f51e
[DEBUG] 2021-12-14 22:25:25.458 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@65c86db8
[DEBUG] 2021-12-14 22:25:25.461 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@6f139fc9
[DEBUG] 2021-12-14 22:25:25.461 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@6f139fc9
[DEBUG] 2021-12-14 22:25:25.461 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@42b28ff1
[DEBUG] 2021-12-14 22:25:25.461 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@42b28ff1
[DEBUG] 2021-12-14 22:25:25.468 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@242a209e
[DEBUG] 2021-12-14 22:25:25.468 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@242a209e
