[DEBUG] 2021-12-15 16:51:41.113 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@1259994d
[DEBUG] 2021-12-15 16:51:41.113 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@1259994d
[DEBUG] 2021-12-15 16:51:41.115 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@54e509c0
[DEBUG] 2021-12-15 16:51:41.116 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@54e509c0
[DEBUG] 2021-12-15 16:51:41.120 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@15940e83
[DEBUG] 2021-12-15 16:51:41.120 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@15940e83
[DEBUG] 2021-12-15 16:51:41.124 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@251c3ae
[DEBUG] 2021-12-15 16:51:41.125 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4ed9d039
[DEBUG] 2021-12-15 16:51:41.126 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@628a3dd
[DEBUG] 2021-12-15 16:51:41.126 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@628a3dd
[DEBUG] 2021-12-15 16:51:41.127 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@1c108b38
[DEBUG] 2021-12-15 16:51:41.127 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@1c108b38
[DEBUG] 2021-12-15 16:51:41.130 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@3f5827f4
[DEBUG] 2021-12-15 16:51:41.132 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@3f5827f4
[DEBUG] 2021-12-15 16:51:41.133 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@6048b9e5
[DEBUG] 2021-12-15 16:51:41.133 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@6048b9e5
[DEBUG] 2021-12-15 16:51:41.134 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@24b87173
[DEBUG] 2021-12-15 16:51:41.137 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@24b87173
[DEBUG] 2021-12-15 16:51:41.140 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@3c09cf9c
[DEBUG] 2021-12-15 16:51:41.140 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@3c09cf9c
[DEBUG] 2021-12-15 16:51:41.143 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4bddce09
[DEBUG] 2021-12-15 16:51:41.144 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4bddce09
[DEBUG] 2021-12-15 16:51:41.147 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@1f01be60
[DEBUG] 2021-12-15 16:51:41.148 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@1f01be60
[DEBUG] 2021-12-15 16:51:41.151 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5de9e1fc
[DEBUG] 2021-12-15 16:51:41.151 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5de9e1fc
[DEBUG] 2021-12-15 16:51:41.152 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@3064b8c0
[DEBUG] 2021-12-15 16:51:41.152 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@3064b8c0
