[DEBUG] 2021-12-14 22:23:05.032 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@3a543f31
[DEBUG] 2021-12-14 22:23:05.033 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7efe7b87
[DEBUG] 2021-12-14 22:23:05.033 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@55259aa7
[DEBUG] 2021-12-14 22:23:05.033 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@55259aa7
[DEBUG] 2021-12-14 22:23:05.033 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@36061cf3
[DEBUG] 2021-12-14 22:23:05.033 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@36061cf3
[DEBUG] 2021-12-14 22:23:05.039 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@64469d8
[DEBUG] 2021-12-14 22:23:05.039 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@64469d8
[DEBUG] 2021-12-14 22:23:05.040 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@43e1692f
[DEBUG] 2021-12-14 22:23:05.040 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@43e1692f
[DEBUG] 2021-12-14 22:23:05.040 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@66213a0d
[DEBUG] 2021-12-14 22:23:05.041 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@66213a0d
[DEBUG] 2021-12-14 22:23:05.042 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@49206065
[DEBUG] 2021-12-14 22:23:05.042 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@49206065
