[DEBUG] 2021-12-14 22:33:23.285 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@4cb40e3b
[DEBUG] 2021-12-14 22:33:23.285 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@2b9f74d0
[DEBUG] 2021-12-14 22:33:23.285 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@6b8280e6
[DEBUG] 2021-12-14 22:33:23.285 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@6b8280e6
[DEBUG] 2021-12-14 22:33:23.286 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@34acbc60
[DEBUG] 2021-12-14 22:33:23.286 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@34acbc60
[DEBUG] 2021-12-14 22:33:23.291 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@6cd164a6
[DEBUG] 2021-12-14 22:33:23.292 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6cd164a6
[DEBUG] 2021-12-14 22:33:23.293 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@692e028d
[DEBUG] 2021-12-14 22:33:23.293 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@692e028d
[DEBUG] 2021-12-14 22:33:23.294 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@1835d3ed
[DEBUG] 2021-12-14 22:33:23.294 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@1835d3ed
[DEBUG] 2021-12-14 22:33:23.294 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@5c8e67b9
[DEBUG] 2021-12-14 22:33:23.297 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@5c8e67b9
[DEBUG] 2021-12-14 22:33:23.298 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4f5f6e45
